X,Y,OBJECTID,naziv,adresa,grad_cetvr,telefon,fax,email,web,vr_vrtica,tip_vrtica,nadlezan,gradjevina,kuhinja,dvorana,vdi,strani_jez
16.109372122,45.8125509210001,20,EN TEN TINI,"Ulica 144. brigade Hrvatske vojske 8, Sesvete",SESVETE,01 558 0133,01 558 0139,vrtic-ententini@zagreb.hr,www.vrtic-ententini.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,DA,DA,engleski
16.102233998,45.8124985810001,21,EN TEN TINI,"Ulica 144. brigade Hrvatske vojske 2, Sesvete",SESVETE,01 558 0140,,vrtic-ententini@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,DA,NE,engleski
15.8749831430001,45.815238487,22,GAJNICE,Ulica hrvatskih iseljenika 6,PODSUSED-VRAPČE,01 345 5008,01 346 4929,vrtic-gajnice@zagreb.hr,www.vrtic-gajnice.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,DA,DA,"engleski, njemački"
15.873631066,45.8169987300001,23,GAJNICE,Ulica kerestinečkih žrtava 59,PODSUSED-VRAPČE,01 345 4066,,vrtic-gajnice@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,DA,DA,engleski
15.878093123,45.8184573770001,24,GAJNICE,Peruanska ulica 1,PODSUSED-VRAPČE,01 345 0041,,vrtic-gajnice@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,NE,DA,engleski
15.840596201,45.81729497,25,GAJNICE,Blanje 17,PODSUSED-VRAPČE,01 349 1761,,vrtic-gajnice@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,NE,DA,
15.840901715,45.817347839,26,GAJNICE,Blanje 19,PODSUSED-VRAPČE,01 349 0447,,vrtic-gajnice@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamiijenjena kuća,NE,NE,DA,engleski
15.9188786030001,45.7983115060001,27,GRIGORA VITEZA,Ratarska ulica 5,TREŠNJEVKA-SJEVER,"01 386 0933, 01 386 2089","01 386 0933, 01 386 2089",vrtic-grigoraviteza@zagreb.hr,www.vrtic-grigoraviteza.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,DA,DA,engleski
15.919802093,45.792499725,28,GRIGORA VITEZA,Ožujska ulica 10A,TREŠNJEVKA-JUG,01 387 2045,,vrtic-grigoraviteza@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,DA,DA,
15.920962413,45.7924519840001,29,GRIGORA VITEZA,Ožujska ulica 13,TREŠNJEVKA-JUG,01 387 3258,,vrtic-grigoraviteza@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamijenjeni stan,NE,DA,NE,
15.9204183730001,45.79358882,30,GRIGORA VITEZA,Rujanska ulica 21,TREŠNJEVKA-JUG,01 387 3552,,vrtic-grigoraviteza@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamijenjeni stan,NE,NE,DA,
15.920192231,45.7978070950001,31,GRIGORA VITEZA,Rudeška cesta 71,TREŠNJEVKA-SJEVER,01 381 6186,,vrtic-grigoraviteza@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamiijenjena kuća,NE,NE,DA,
15.9199912350001,45.7939445920001,32,GRIGORA VITEZA,Rujanska ulica 4,TREŠNJEVKA-JUG,01 387 3587,,vrtic-grigoraviteza@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamijenjeni stan,NE,NE,NE,
15.8906643890001,45.7473781890001,33,HRVATSKI LESKOVAC,"Potočna ulica 9, Hrvatski Leskovac",NOVI ZAGREB-ZAPAD,01 657 8039,01 653 6107,vrtic-hrvatskileskovac@zagreb.hr,www.vrtic-hrvatskileskovac.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,DA,DA,engleski
15.932896681,45.766658776,34,HRVATSKI LESKOVAC,Karlovačka cesta 65H,NOVI ZAGREB-ZAPAD,01 614 1809,01 614 1812,vrtic-hrvatskileskovac@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,DA,DA,
15.879491424,45.760944065,35,HRVATSKI LESKOVAC,"Hrastovička ulica 1A, Lučko",NOVI ZAGREB-ZAPAD,01 644 7430,01 644 7431,vrtic-hrvatskileskovac@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,DA,DA,
15.9100247430001,45.7257751930001,36,HRVATSKI LESKOVAC,"Brezovička cesta 98, Brezovica",BREZOVICA,01 653 7966,01 653 8142,vrtic-hrvatskileskovac@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamijenjeni stan,NE,NE,DA,engleski
16.042150448,45.8230273300001,37,IVANE BRLIĆ MAŽURANIĆ,Cerska ulica 22,DONJA DUBRAVA,01 291 0519,01 291 0549,vrtic-ivanebrlicmazuranic@zagreb.hr,www.vrtic-ivanebrlicmazuranic.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,NE,DA,engleski
16.0485533180001,45.825708456,38,IVANE BRLIĆ MAŽURANIĆ,Kapucinska ulica  20,DONJA DUBRAVA,01 285 1380,,vrtic-ivanebrlicmazuranic@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamiijenjena kuća,NE,NE,DA,engleski
16.0481497320001,45.822984897,39,IVANE BRLIĆ MAŽURANIĆ,Berečka ulica 3,DONJA DUBRAVA,01 285 1686,,vrtic-ivanebrlicmazuranic@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamiijenjena kuća,NE,NE,DA,
15.9867034100001,45.798890887,40,ISKRICA,Kruge 3,TRNJE,01 615 6955,01 611 3798,vrtic-iskrica@zagreb.hr,www.vrtic-iskrica.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,DA,DA,"engleski, njemački"
15.984565004,45.7963799140001,41,ISKRICA,Trg kardinala Franje Šepera 6,TRNJE,01 615 7832,,vrtic-iskrica@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,NE,DA,engleski
16.061054819,45.8140387030001,42,JABUKA,Resnički put 88,DONJA DUBRAVA,01 299 5312,01 292 3880,vrtic.jabuka@zagreb.hr,www.vrtic-jabuka.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,DA,DA,njemački
16.087301165,45.802691119,44,JABUKA,V. Resnik 1A,PEŠČENICA-ŽITNJAK,01 205 6815,,vrtic.jabuka@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamijenjeni stan,NE,NE,DA,engleski
15.9251252290001,45.7839365200001,46,JARUN,Bartolići 39A,TREŠNJEVKA-JUG,01 365 9800,01 365 9801,vrtic.jarun@zagreb.hr,www.vrtic-jarun.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,DA,DA,engleski
15.9325045750001,45.788307655,47,JARUN,Ulica Martina Pušteka 14,TREŠNJEVKA-JUG,01 363 9762,,vrtic.jarun@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,DA,DA,engleski
15.9299611170001,45.7854366010001,48,JARUN,Ulica Ante Pandakovića 2,TREŠNJEVKA-JUG,01 383 2639,,vrtic.jarun@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,DA,DA,njemački
15.92985923,45.7904476140001,49,JARUN,Hrgovići 20,TREŠNJEVKA-JUG,01 363 6376,,vrtic.jarun@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamiijenjena kuća,NE,NE,DA,
15.9323256810001,45.786241187,50,JARUN,Ulica Antuna Stipančića 12,TREŠNJEVKA-JUG,01 363 5890,,vrtic.jarun@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamijenjeni stan,NE,NE,NE,
15.934089811,45.7890541620001,51,JARUN,Ulica Hrvoja Macanovića 5A,TREŠNJEVKA-JUG,01 301 1122,,vrtic.jarun@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamiijenjena kuća,NE,NE,DA,
15.929431317,45.7859966010001,52,JARUN,Hrgovići 63,TREŠNJEVKA-JUG,01 383 0209,,vrtic.jarun@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamijenjeni stan,NE,NE,NE,
16.057341503,45.850843942,53,KOLIBRI,Ruščenica 19,GORNJA DUBRAVA,01 298 4097,01 298 4097,vrtic-kolibri@zagreb.hr,www.vrtic-kolibri.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,NE,DA,engleski
16.0393423580001,45.8630452730001,54,KOLIBRI,Miroševečka cesta 89,GORNJA DUBRAVA,01 298 0954,,vrtic-kolibri@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,DA,DA,engleski
16.081926858,45.853969815,55,KOLIBRI,Novoselečki put 181,GORNJA DUBRAVA,01 298 4474,,vrtic-kolibri@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,NE,DA,engleski
15.9591397940001,45.8124167940001,56,KRIJESNICE,Krajiška ulica 7A,DONJI GRAD,01 377 0933,01 377 0933,vrtic.krijesnice@zagreb.hr,www.vrtic.krijesnice.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,NE,DA,engleski
15.9601112080001,45.811451139,57,KRIJESNICE,Kordunska ulica 1,DONJI GRAD,01 377 1497,,vrtic.krijesnice@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,NE,DA,
15.9596801710001,45.8114769050001,58,KRIJESNICE,Kordunska ulica 7,DONJI GRAD,01 370 4802,,vrtic.krijesnice@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,NE,DA,
15.9210536840001,45.8098583010001,59,KUSTOŠIJA,Ulica Stjepana Pasanca 5,STENJEVEC,01 386 0694,01 386 0694,vrtic.kustosija@zagreb.hr,www.vrtic-kustosija.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,DA,DA,engleski
15.912111612,45.7894931480001,60,KUSTOŠIJA,Palinovečka ulica  40,TREŠNJEVKA-JUG,01 644 6561,01 644 6562,vrtic.kustosija@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,DA,DA,"engleski, njemački"
16.116015997,45.828483228,61,LEPTIR,"Ulica Ivana Gorana Kovačića 20, Sesvete",SESVETE,01 200 2321,01 556 6518,vrtic.leptir@zagreb.hr,www.vrtic-leptir.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,DA,DA,engleski
16.0917165270001,45.821343531,62,LEPTIR,"Sopnička ulica 69, Sesvete",SESVETE,01 205 6880,,vrtic.leptir@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamiijenjena kuća,NE,NE,DA,engleski
16.1164355220001,45.830366821,63,LEPTIR,"Varaždinska cesta 42, Sesvete",SESVETE,01 205 8817,,vrtic.leptir@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamiijenjena kuća,NE,NE,DA,
16.110746512,45.8272828010001,64,LEPTIR,"Trg Dragutina Domjanića 10, Sesvete",SESVETE,01 201 2535,,vrtic.leptir@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamiijenjena kuća,NE,NE,DA,engleski
16.0241192230001,45.8182044800001,65,MAKSIMIR,Aleja Antuna Augustinčića 4,MAKSIMIR,01 231 4976,01 231 5712,vrtic.maksimir@zagreb.hr,www.vrtic-maksimir.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,DA,DA,"engleski, talijanski"
16.023449134,45.8182106990001,66,MAKSIMIR,Aleja Antuna Augustinčića 2,MAKSIMIR,,,vrtic.maksimir@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,NE,DA,
16.0284200790001,45.8204021270001,67,MAKSIMIR,Ravnice 4,MAKSIMIR,01 232 3391,,vrtic.maksimir@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,DA,DA,
15.8993023470001,45.8095243980001,68,MALEŠNICA,Dolovska ulica 27,STENJEVEC,01 373 1700,01 373 1700,vrtic-malesnica@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamijenjeni stan,NE,NE,DA,engleski
15.904480994,45.8036583800001,69,MALEŠNICA,Ulica Dobriše Cesarića 4 ,STENJEVEC,01 348 0210,01 348 0211,vrtic-malesnica@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,DA,DA,engleski
15.9990830190001,45.8195937080001,70,MALI PRINC,Laščinska cesta 17,MAKSIMIR,01 243 1460,01 243 1460,vrtic.maliprinc@zagreb.hr,www.vrtic-maliprinc.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,NE,DA,engleski
15.9991109760001,45.831084817,71,MALI PRINC,Rebar 31,MAKSIMIR,01 234 7138,,vrtic.maliprinc@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,DA,DA,engleski
16.006132107,45.819692418,72,MALI PRINC,Jordanovac 23,MAKSIMIR,01 232 1070,,vrtic.maliprinc@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,NE,DA,engleski
16.0160739770001,45.875594333,73,MARKUŠEVEC,Štefanovec 172,PODSLJEME,01 457 4793,01 457 4810,vrtic.markusevec@zagreb.hr,www.vrtic-markuševec.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,DA,DA,engleski
16.0284509730001,45.8921892340001,74,MARKUŠEVEC,Bidrovečka cesta 30,PODSLJEME,01 298 0741,,vrtic.markusevec@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamiijenjena kuća,NE,NE,DA,
15.995712514,45.8656778370001,75,MARKUŠEVEC,Markuševečka cesta 38,PODSLJEME,01 457 4876,,vrtic.markusevec@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamijenjeni stan,NE,NE,DA,
16.0150312270001,45.8767900450001,76,MARKUŠEVEC,Brežovanka 2A,PODSLJEME,01 457 4424,,vrtic.markusevec@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamijenjeni stan,NE,NE,DA,
16.118925141,45.8356040190001,77,MARKUŠEVEC,"Ulica Vladimira Vidrića 12, Sesvete",SESVETE,01 202 0403,01 201 2574,vrtic.markusevec@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamiijenjena kuća,DA,DA,DA,engleski
15.945866622,45.79204136,78,MATIJE GUPCA,Ulica Braće Cvijića 18,TREŠNJEVKA-JUG,01 383 6469,01 383 6509,vrtic-matijegupca@zagreb.hr,www.vrtic-matijegupca.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,NE,DA,engleski
15.9207017100001,45.7979865790001,79,MATIJE GUPCA,Dugavska ulica 3,TREŠNJEVKA-SJEVER,01 381 6183,,vrtic-matijegupca@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,NE,DA,engleski
15.952936235,45.787889744,80,MATIJE GUPCA,Horvaćanska cesta 6A,TREŠNJEVKA-JUG,01 383 8871,,vrtic-matijegupca@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,NE,DA,engleski
15.951650177,45.7940045490001,81,MATIJE GUPCA,Zagrebačka avenija 5A,TREŠNJEVKA-JUG,01 383 6569,,vrtic-matijegupca@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,NE,DA,engleski
16.0637157420001,45.8290116470001,82,MEDO BRUNDO,Dubrava 185,GORNJA DUBRAVA,01 285 3993,01 298 9852,vrtic.medobrundo@zagreb.hr,www.vrtic-medobrundo.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,DA,DA,njemački
16.0643446060001,45.828832199,83,MEDO BRUNDO,Dubrava 205,GORNJA DUBRAVA,01 285 1046,,vrtic.medobrundo@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamiijenjena kuća,NE,NE,DA,
16.067342984,45.8274767170001,84,MEDO BRUNDO,Aleja lipa 1F,DONJA DUBRAVA,01 286 4524,,vrtic.medobrundo@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamijenjeni stan,NE,NE,NE,engleski
16.0667827290001,45.8284879400001,85,MEDO BRUNDO,Dubrava 230,DONJA DUBRAVA,01 292 0543,,vrtic.medobrundo@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamijenjeni stan,NE,NE,NE,
15.9878664890001,45.8178682980001,86,MEDVEŠČAK,Voćarska cesta 69,GORNJI GRAD-MEDVEŠČAK,01 461 6247,01 463 5835,vrtic.medvescak@zagreb.hr,www.vrtic-medvescak.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,DA,DA,engleski
15.9919831350001,45.814045633,87,MEDVEŠČAK,Vlaška ulica 97,GORNJI GRAD-MEDVEŠČAK,01 463 5161,,vrtic.medvescak@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,DA,DA,
15.9913316720001,45.812149026,88,MEDVEŠČAK,Ulica Koste Vojnovića 15,DONJI GRAD,01 455 5124,,vrtic.medvescak@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamijenjeni stan,NE,NE,NE,
15.991355189,45.811869657,89,MEDVEŠČAK,Ulica Koste Vojnovića 19,DONJI GRAD,01 455 4944,,vrtic.medvescak@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamijenjeni stan,NE,NE,NE,
15.987896876,45.8121808330001,90,MEDVEŠČAK,Martićeva ulica 14B,DONJI GRAD,01 461 5050,,vrtic.medvescak@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,NE,DA,engleski
15.990549425,45.8158802290001,91,MEDVEŠČAK,Jurkovićeva ulica 14,GORNJI GRAD-MEDVEŠČAK,01 463 3140,,vrtic.medvescak@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamiijenjena kuća,NE,DA,DA,engleski
16.0093419880001,45.7938142610001,92,MILANA SACHSA,Sachsova ulica 5,PEŠČENICA-ŽITNJAK,01 614 4891,01 614 4893,vrtic.milanasachsa@zagreb.hr,www.vrtic-milanasachsa.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,DA,DA,engleski
16.0114760340001,45.7916112520001,93,MILANA SACHSA,Prilaz Safvet-bega Bašagića 1,PEŠČENICA-ŽITNJAK,01 613 1280,,vrtic.milanasachsa@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamijenjeni stan,NE,NE,DA,engleski
16.016736974,45.7882690980001,94,MILANA SACHSA,Velikogorička ulica 27,PEŠČENICA-ŽITNJAK,01 240 7330,,vrtic.milanasachsa@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamijenjeni stan,NE,NE,DA,engleski
16.0497458310001,45.8357229870001,95,PČELICA,Ulica Josipa Hamma 2,GORNJA DUBRAVA,01 299 0506,01 293 2677,vrtic.pcelica@zagreb.hr,www.vrtic-pcelica.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,DA,DA,engleski
